ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,2.73,0.58,5.6,21.245421245421245,205.12820512820514
1.1,5.73,2.87,9.02,50.08726003490401,157.41710296684118
1.25,8.1,5.04,12.0,62.22222222222222,148.14814814814815
1.5,10.69,7.29,15.36,68.19457436856877,143.68568755846587
1.75,12.6,8.87,17.93,70.39682539682539,142.30158730158732
2.0,14.15,10.15,20.08,71.73144876325088,141.90812720848055
3.0,18.53,13.49,26.42,72.80086346465191,142.57960064759848
5.0,23.73,17.24,35.34,72.65065318162662,148.92541087231353
10.0,30.61,21.77,50.85,71.12054884024829,166.12218229336818
20.0,37.46,25.87,73.49,69.0603310197544,196.18259476775225
50.0,46.63,30.28,124.85,64.93673600686253,267.746086210594
100.0,53.69,32.76,170.12,61.016949152542374,316.8560253306016
