RAINFALL INTENSITY IN mm/h FOR VARIOUS DURATIONS AND RETURN PERIODS,,,,,,,
RETURN PERIOD (YEARS),,,,,,,
DURATION,1,2,5,10,20,50,100
5 mins,92.2,118,150,168,192,224,248
6 mins,86.4,111,141,158,181,210,233
10 mins,70.7,90.7,116,130,149,174,193
20 mins,51.7,66.5,85.6,96.7,111,130,145
30 mins,42.1,54.2,70.1,79.3,91.4,107,119
1 hour,28.5,36.8,47.9,54.4,62.9,74.1,82.6
2 hours,18.6,24.1,31.5,35.8,41.5,49,54.7
3 hours,14.4,18.6,24.4,27.7,32.2,38,42.4
6 hours,9.18,11.9,15.6,17.8,20.7,24.5,27.4
12 hours,5.92,7.69,10.1,11.5,13.4,15.9,17.7
24 hours,3.88,5.04,6.61,7.55,8.77,10.4,11.6
48 hours,2.51,3.26,4.27,4.87,5.66,6.69,7.47
72 hours,1.88,2.44,3.2,3.65,4.23,5,5.59
