,1,2,5,10,20,50,100
count,997276.0,997276.0,997276.0,997276.0,997276.0,997276.0,997276.0
mean,0.4340158813889589,0.5180189552061767,0.6160225413262641,0.7000256151434822,0.7840286889606998,0.8633072726054933,0.9480021792803298
std,0.02040642138780571,0.024356051333832614,0.028963952937530676,0.03291358288355758,0.03686321282958451,0.040590708191520816,0.044572866515950195
min,0.37200221635147407,0.44400264532272715,0.528003145789189,0.6000035747604421,0.6720040037316952,0.7399549937523544,0.8125484041498985
5%,0.40020643128770883,0.47766574056920086,0.5680349347309416,0.6454942440124336,0.7229535532939257,0.7960564059740856,0.8741536549505702
25%,0.4201239895644886,0.5014383101253573,0.596305017446371,0.6776193380072397,0.7589336585681086,0.8356747094745463,0.9176587188480096
50%,0.43403235449442146,0.518038616654632,0.6160459225082111,0.7000521846684217,0.7840584468286323,0.863340039498038,0.9480381607744356
75%,0.44795418543355287,0.5346549955174663,0.6358059406153653,0.7225067506992788,0.8092075607831923,0.8910321549553644,0.9784470159242339
95%,0.4677552885387256,0.5582885701913822,0.6639107321194816,0.7544440137721382,0.8449772954247947,0.9304188157881441,1.0216977118107182
max,0.49599852542945055,0.591998240028699,0.7039979070611556,0.7999976216604041,0.8959973362596527,0.9865978471444442,1.083388196584345
