,12EY,6EY,4EY,3EY,2EY,63.2%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
AEP (1 in x),1.000006144250105,1.0024849116568446,1.018657360363774,1.052395696491256,1.1565176427496657,1.5819767068693265,2.0,2.5414940825367984,5.0,5.516655566126993,10.0,20.0,50.0,100.0,200.0,500.0,1000.0,2000.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,3.741519270781435,4.479421551962975,5.797802868903508,6.639290742797741,8.110322286645346,11.23962229643798,12.460500420279269,13.73802796690092,15.71152017908209,15.923457012488834,17.033705154055326,17.90155739146089,18.88834799169146,19.654336731906376,20.517255775830975,21.864780463020168,23.191747641986893,24.806151311899598
std,0.4841546641229511,0.5631185713267831,0.7007247943953218,1.0314627096539748,1.2410401839685608,1.0994827772497684,1.152009964944378,1.2117284224853162,0.8408367048335357,0.7689107675598047,0.6152535752421263,0.6031609244815483,0.3254077146010536,0.3749655588674431,0.3917979969650825,0.4553072079837402,0.5261744662520977,0.5624995133776606
min,2.97539316899976,3.61436647567096,4.652349504085168,5.179759409786987,6.309186652935533,9.669571504745447,10.774063298664938,11.98930392031681,14.493266874645274,14.791850090866141,15.986407505980862,17.11297961240022,18.35509640746261,18.986674133952526,19.732784594543013,20.907574521655334,22.132559531747866,23.768631712134574
5%,2.9953403327689925,3.6393224904705552,4.82448533823957,5.3997988246920485,6.557174301352659,9.796477234754626,10.895099974560617,12.096184363062426,14.617618617738803,14.930900115985732,16.187283080407823,17.16412354703614,18.426233346104954,19.098959137529555,19.941503376224407,21.189786350062693,22.375712577936465,23.97434024085184
25%,3.531657716060871,4.1996372769549755,5.33123160246053,5.727360606943,7.033303308085145,10.510276222598618,11.761679950341858,12.999854484453193,14.969718074865895,15.287774174546255,16.682391789694503,17.46006399360023,18.691022024312772,19.47210491814043,20.358378871604348,21.654220608383802,22.987075470745182,24.42767681442022
50%,3.7799372192417238,4.511132652654442,5.804272082493064,6.857310697669094,8.368952592487776,11.133214142054744,12.41914253131398,13.690513376637973,15.94470362803142,16.108977893643726,16.96704748486308,17.87784270153766,18.84769629872472,19.599777514067735,20.480941832921097,21.911259519366673,23.242252961725995,24.932249791870653
75%,4.111231285033997,4.863921583248907,6.310009728217287,7.253457646974491,8.828486741278308,12.053758227909368,13.213744867839543,14.450463218870514,16.115155446242788,16.294848429572472,17.485476978206506,18.310681702821327,19.145519549561033,19.971670764729993,20.83349773677093,22.177033895002232,23.61551893522349,25.269624316719728
95%,4.31508499478169,5.177140004751743,6.685257745579572,8.007969736735362,9.794453301157793,12.722184259564777,14.028104828929228,15.421218108109583,16.800376615146533,16.94614757074806,17.862145885702756,18.79004086826197,19.303182276966698,20.10972192123829,20.983369469247283,22.394057997519052,23.769187895382778,25.40108757074598
max,4.355229198333217,5.193081234157274,6.7234593944350545,8.53289641660242,10.317067917583852,13.141480344525128,14.555901875346526,15.985445269062819,17.252789883621478,17.400383243967266,17.979646205375932,18.894515556090056,19.312838478939806,20.146194736665677,21.057927454283547,22.46565714960524,23.839363099590567,25.484315051155612
